name,vaccinated,ratio,,,,,,,
Adygea,"68,000",14.68,"1,287",0.28,#NAME?,127,"32,000",14.07,47%
Altai Krai,48184,21.81,443,0.2,#NAME?,141,35498,21.07,74%
Altai Republic,"445,776",19.41,5075,0.22,11%,138,"322,212",22.07,72%
Amur Oblast,"181,989",23.28,1345,0.17,-58%,155,"119,034",21.07,65%
Arkhangelsk Oblast,"205,872",19.02,2714,0.25,9%,124,"146,839",21.07,71%
Astrakhan Oblast,242621,24.32,3111,0.31,-7%,82,"164,752",21.07,68%
Bashkortostan,833 295,20.76,9843,0.25,-22%,119,"513,415",21.07,62%
Belgorod Oblast,592 601,38.45,"5,504",0.36,#NAME?,32,"431,057",21.07,73%
Bryansk Oblast,"265,459",22.45,"3,004",0.25,#NAME?,108,77 441,21.07,29%
Buryatia,"244,552",24.82,2560,0.26,#NAME?,97,175 390,22.07,72%
Vladimir Oblast,172 394,12.85,3342,0.25,67%,149,120 120,13.07,70%
Volgograd Oblast,"570,000",23.03,6707,0.27,#NAME?,99,"396,000",21.07,69%
Vologda Oblast,202395,17.58,2 179,0.19,11%,171,146165,20.07,72%
Voronezh Oblast,"483,871",20.99,3882,0.17,-33%,172,"340,000",20.07,70%
Dagestan,212870,6.79,2276,0.07,-27%,595,122202,22.07,57%
Jewish Autonomous Oblast,"30,000",19.17,516,0.33,154%,94,16694,20.07,56%
Zabaykalsky Krai,238 857,22.67,1 988,0.19,53%,145,"191,879",22.07,80%
Ivanovo Oblast,"250,094",25.34,3012,0.31,#NAME?,81,"166,894",21.07,67%
Ingushetia,"81,238",15.76,1513,0.29,12%,117,54699,12.07,67%
Irkutsk Oblast,"459,500",19.35,4087,0.17,1%,178,"338,729",21.07,74%
Kabardino-Balkaria,101 526,11.68,1 111,0.13,-52%,300,60300,20.07,59%
Kaliningrad,"218,598",21.46,3229,0.32,34%,90,148 350,20.07,68%
Kalmykia,"55,000",20.37,600,0.22,8%,133,"42,000",19.07,76%
Kaluga Oblast,"213,000",21.28,2711,0.27,-27%,106,114 854,21.07,54%
Kamchatka Krai,57651,18.5,522,0.17,-43%,188,43489,22.07,75%
Karachay-Cherkessia,80 576,17.31,801,0.17,1%,190,60 586,20.07,75%
Republic of Karelia,134 676,22.11,1565,0.26,-25%,109,93617,19.07,70%
Kemerovo Oblast,626 617,23.79,7259,0.28,-22%,95,389 655,22.07,62%
Kirov Oblast,"278,500",22.28,2498,0.2,-33%,139,"211,000",21.07,76%
Komi Republic,179 914,22.11,2 703,0.33,24%,84,"128,866",21.07,72%
Kostroma Oblast,124 792,19.86,993,0.16,-48%,191,72 955,21.07,58%
Krasnodar Krai,"1,320,000",23.22,17143,0.3,-26%,89,"714,770",22.07,54%
Krasnoyarsk Krai,535515,18.75,"7,061",0.25,10%,126,380 985,21.07,71%
Autonomous Republic of Crimea,"392,505",20.64,2535,0.13,#NAME?,220,303531,21.07,77%
Kurgan Oblast,189838,23.19,894,0.11,-67%,245,141668,22.07,75%
Kursk Oblast,263101,23.99,3 309,0.3,#NAME?,86,175323,21.07,67%
Leningrad oblast,"375,021",19.81,5961,0.31,#NAME?,96,"233,438",21.07,62%
Lipetsk Oblast,"287,200",25.46,4314,0.38,#NAME?,64,189300,19.07,66%
Magadan Oblast,37497,26.97,220,0.16,-54%,146,28285,21.07,75%
Mari El,"109,899",16.27,1 174,0.17,#NAME?,194,76678,21.07,70%
Republic of Mordovia,"230,281",29.56,2279,0.29,-2%,70,"174,171",21.07,76%
